,庫房,料號,品名,數量,帳務日期,工作日,週,年,工作天數,休假天數
432,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/5,True,18,2022,5.0,2.0
433,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/5,True,18,2022,5.0,2.0
434,DLN5,A46441986,幫浦輸液套(一般型),2.0,2022/5/5,True,18,2022,5.0,2.0
435,DLN5,A46441986,幫浦輸液套(一般型),3.0,2022/5/6,True,18,2022,5.0,2.0
436,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/6,True,18,2022,5.0,2.0
437,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/6,True,18,2022,5.0,2.0
438,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/6,True,18,2022,5.0,2.0
439,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/6,True,18,2022,5.0,2.0
440,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/7,True,18,2022,5.0,2.0
441,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/7,True,18,2022,5.0,2.0
442,DLN5,A46441986,幫浦輸液套(一般型),2.0,2022/5/7,True,18,2022,5.0,2.0
443,DLN5,A46441986,幫浦輸液套(一般型),2.0,2022/5/8,False,18,2022,5.0,2.0
444,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/8,False,18,2022,5.0,2.0
445,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/10,True,19,2022,5.0,2.0
446,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/10,True,19,2022,5.0,2.0
447,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/10,True,19,2022,5.0,2.0
448,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/11,True,19,2022,5.0,2.0
449,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/12,True,19,2022,5.0,2.0
450,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/12,True,19,2022,5.0,2.0
451,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/12,True,19,2022,5.0,2.0
452,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/13,True,19,2022,5.0,2.0
453,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/13,True,19,2022,5.0,2.0
454,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/13,True,19,2022,5.0,2.0
455,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/13,True,19,2022,5.0,2.0
456,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/14,False,19,2022,5.0,2.0
457,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/14,False,19,2022,5.0,2.0
458,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/15,False,19,2022,5.0,2.0
459,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/15,False,19,2022,5.0,2.0
460,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/9,True,19,2022,5.0,2.0
461,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/9,True,19,2022,5.0,2.0
462,DLN5,A46441986,幫浦輸液套(一般型),2.0,2022/5/9,True,19,2022,5.0,2.0
463,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/16,True,20,2022,5.0,2.0
464,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/16,True,20,2022,5.0,2.0
465,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/16,True,20,2022,5.0,2.0
466,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/17,True,20,2022,5.0,2.0
467,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/17,True,20,2022,5.0,2.0
468,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/18,True,20,2022,5.0,2.0
469,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/18,True,20,2022,5.0,2.0
470,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/19,True,20,2022,5.0,2.0
471,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/20,True,20,2022,5.0,2.0
472,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/20,True,20,2022,5.0,2.0
473,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/23,True,21,2022,5.0,2.0
474,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/23,True,21,2022,5.0,2.0
475,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/24,True,21,2022,5.0,2.0
476,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/25,True,21,2022,5.0,2.0
477,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/26,True,21,2022,5.0,2.0
478,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/27,True,21,2022,5.0,2.0
