住院日期,護理站,成本中心,人數,週,年,該週總人數,該週最多人,前1週人數,前1週最多人,前1週平均人數
2022-07-31,D15,DLN5,13,30,2022,142,25.0,135.0,25.0,19.29
2022-08-07,D15,DLN5,20,31,2022,159,24.0,142.0,25.0,20.29
2022-08-14,D15,DLN5,18,32,2022,143,25.0,159.0,24.0,22.71
2022-08-21,D15,DLN5,17,33,2022,155,25.0,143.0,25.0,20.43
2022-08-28,D15,DLN5,18,34,2022,155,25.0,155.0,25.0,22.14
2022-09-04,D15,DLN5,23,35,2022,159,25.0,155.0,25.0,22.14
2022-09-11,D15,DLN5,21,36,2022,149,25.0,159.0,25.0,22.71
2022-09-18,D15,DLN5,24,37,2022,174,25.0,149.0,25.0,21.29
2022-09-25,D15,DLN5,38,38,2022,214,38.0,174.0,25.0,24.86
2022-10-02,D15,DLN5,38,39,2022,254,38.0,214.0,38.0,30.57
2022-10-09,D15,DLN5,27,40,2022,245,40.0,254.0,38.0,36.29
2022-10-16,D15,DLN5,37,41,2022,239,38.0,245.0,40.0,35.0
2022-10-23,D15,DLN5,45,42,2022,279,45.0,239.0,38.0,34.14
2022-10-30,D15,DLN5,45,43,2022,333,49.0,279.0,45.0,39.86
2022-11-06,D15,DLN5,42,44,2022,289,42.0,333.0,49.0,47.57
2022-11-13,D15,DLN5,28,45,2022,257,44.0,289.0,42.0,41.29
2022-11-20,D15,DLN5,34,46,2022,255,41.0,257.0,44.0,36.71
2022-11-27,D15,DLN5,25,47,2022,199,38.0,255.0,41.0,36.43
2022-12-04,D15,DLN5,32,48,2022,246,40.0,199.0,38.0,28.43
2022-12-11,D15,DLN5,29,49,2022,224,37.0,246.0,40.0,35.14
2022-12-18,D15,DLN5,27,50,2022,227,44.0,224.0,37.0,32.0
2022-12-25,D15,DLN5,39,51,2022,224,39.0,227.0,44.0,32.43
2023-01-01,D15,DLN5,19,52,2022,219,40.0,224.0,39.0,32.0
2023-01-08,D15,DLN5,33,1,2023,256,44.0,219.0,40.0,31.29
2023-01-15,D15,DLN5,26,2,2023,216,36.0,256.0,44.0,36.57
2023-01-22,D15,DLN5,4,3,2023,106,34.0,216.0,36.0,30.86
2023-01-29,D15,DLN5,21,4,2023,89,21.0,106.0,34.0,15.14
2023-02-05,D15,DLN5,29,5,2023,209,35.0,89.0,21.0,12.71
2023-02-12,D15,DLN5,41,6,2023,265,41.0,209.0,35.0,29.86
2023-02-19,D15,DLN5,38,7,2023,274,43.0,265.0,41.0,37.86
2023-02-26,D15,DLN5,37,8,2023,279,43.0,274.0,43.0,39.14
2023-02-28,D15,DLN5,35,9,2023,71,36.0,279.0,43.0,39.86
