,帳務日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),數量,本日庫存量,退貨量(-),週,年,工作天數,休假天數
141,2021-07-29,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,100.0,100.0,0.0,,30,2021,5.0,2.0
142,2021-08-05,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,300.0,300.0,0.0,,31,2021,5.0,2.0
143,2021-08-10,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,100.0,100.0,0.0,,32,2021,5.0,2.0
144,2021-08-17,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,100.0,100.0,0.0,,33,2021,5.0,2.0
145,2021-08-24,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,100.0,100.0,0.0,,34,2021,5.0,2.0
146,2021-08-31,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,35,2021,4.0,3.0
147,2021-09-07,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,36,2021,5.0,2.0
148,2021-09-14,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,37,2021,5.0,2.0
149,2021-09-22,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,38,2021,3.0,4.0
150,2021-09-28,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,39,2021,5.0,2.0
151,2021-10-05,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,100.0,100.0,0.0,,40,2021,5.0,2.0
152,2021-10-12,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,100.0,100.0,0.0,,41,2021,4.0,3.0
153,2021-10-19,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,150.0,150.0,0.0,,42,2021,5.0,2.0
154,2021-10-26,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,43,2021,5.0,2.0
155,2021-01-05,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,0.0,0.0,,44,2021,5.0,2.0
156,2021-11-09,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,400.0,400.0,0.0,,45,2021,5.0,2.0
157,2021-11-16,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,100.0,100.0,0.0,,46,2021,5.0,2.0
158,2021-11-23,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,100.0,100.0,0.0,,47,2021,5.0,2.0
159,2021-11-30,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,100.0,100.0,0.0,,48,2021,5.0,2.0
160,2021-12-07,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,49,2021,5.0,2.0
161,2021-12-16,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,150.0,150.0,0.0,,50,2021,5.0,2.0
162,2021-12-22,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,51,2021,5.0,2.0
163,2021-12-28,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,300.0,300.0,0.0,,52,2021,4.0,2.0
